tt,ID,journal,IF,year,geo,h_index,citation,wcitation,plum1,plum2,plum3,study_design,type_random,concealment,blinding,topic,power_just,pval_rep,outcome,statistician,funding
phn,1235,J Urol,5.157,2008,USA,32.0,37.0,,,,,Other,NA,No,No,VUR,No,0.03,Primary,No,No
phn,2355,J Urol,5.157,1997,USA,24.0,29.0,,,,,Other,NA,No,No,VUR,No,0.02,Primary,No,No
phn,1107,J Urol,5.157,2009,USA,19.0,49.0,,,,,Other,NA,No,No,VUR,No,0.001,Secondary,No,No
phn,2293,Radiology,7.469,1999,Austria,47.0,39.0,,,,,Other,NA,No,No,UPJO,No,0.01,Primary,No,No
phn,2437,J Urol,5.157,1995,Canada,35.0,65.0,,,,,Other,NA,No,No,VUR,No,0.01,Primary,No,No
phn,5690,Renal Failure,1.07,2012,Turkey,30.0,12.0,,,,,Other,NA,No,No,PHN,No,0.0001,Primary,No,No
phn,1111,Journal of endourology,2.023,2009,Turkey,15.0,17.0,,,,,RCT,NA,No,No,Stones,No,0.001,Secondary,No,No
phn,1706,Clinical Radiology,2.282,2003,England,13.0,13.0,,,,,RCT,NA,No,No,VUR,No,0.014,Primary,No,No
phn,530,J Ped Urol,1.935,2012,Turkey,12.0,6.0,,,,,RCT,NA,No,No,VUR,Yes,0.042,Primary,No,No
phn,266,J Ped Urol,1.935,2016,Austria,6.0,0.0,,,,,Other,NA,No,No,VUR,No,0.00256,Primary,No,No
phn,351,world J Urol,2.981,2015,Germany,8.0,7.0,,,,,Other,NA,No,No,UPJO,No,0.0001,Primary,No,No
phn,496,Pediatric Nephrology,2.627,2015,India,23.0,10.0,,,,,RCT,Blocked,Yes,Yes,VUR,Yes,0.03,Primary,Yes,Yes
phn,1442,BJUI,4.387,2006,Netherlands,22.0,14.0,,,,,Other,NA,No,No,UPJO,No,0.05,Primary,No,No
phn,462,J Ped Urol,1.935,2014,USA,16.0,20.0,,,,,Other,NA,No,No,HUN,No,0.038,Primary,No,No
phn,1045,J Urol,5.157,2010,Sweden,31.0,85.0,,,,,RCT,NA,No,No,VUR,No,0.0002,Primary,Yes,Yes
phn,2144,J Urol,5.157,1999,USA,37.0,73.0,,,,,Other,NA,No,No,Ureterocele/duplex anomalies,No,0.01,Primary,No,No
phn,941,JOURNAL OF LAPAROENDOSCOPIC & ADVANCED SURGICAL TECHNIQUES,1.257,2011,Brazil,2.0,10.0,,,,,Other,NA,No,No,UPJO,No,0.044,Secondary,No,No
phn,1072,J Urol,5.157,2010,Iran,22.0,14.0,,,,,RCT,NA,No,Yes,VUR,No,0.002,Primary,No,No
phn,1469,Pediatric Nephrology,2.627,2006,Greece,14.0,50.0,,,,,Other,NA,No,No,UTI,No,0.0001,Secondary,No,No
phn,469,korean j urol,1.6,2014,Turkey,5.0,1.0,,,,,Other,NA,No,No,VUR,No,0.05,Secondary,No,No
phn,243,Journal of Pediatric Surgery,1.733,2016,Turkey,4.0,7.0,,,,,Other,NA,No,No,VUR,No,0.007,Primary,No,No
phn,247,Journal of Pediatric Surgery,1.733,2016,Turkey,3.0,7.0,,,,,Other,NA,No,No,VUR,No,0.024,Primary,No,No
phn,776,J Urol,5.157,2012,Japan,24.0,15.0,,,,,RCT,NA,No,No,VUR,No,0.04,Primary,No,No
phn,497,Journal of endourology,2.038,2015,India,18.0,8.0,,,,,RCT,Simple,No,No,Stones,No,0.02,Primary,No,No
phn,274,J Ped Urol,1.935,2016,USA,6.0,15.0,,,,,Other,NA,No,No,VUR,No,0.004,Primary,No,Yes
phn,1702,Urology,2.365,2003,USA,27.0,36.0,,,,,Other,NA,No,No,UPJO,No,0.05,Primary,No,No
phn,52,world J Urol,2.981,2017,Netherlands,2.0,3.0,,,,,Other,NA,No,No,Stones,No,0.001,Primary,No,No
phn,1273,J Urol,5.157,2008,USA,24.0,9.0,,,,,Other,NA,No,No,Ureterocele/duplex anomalies,No,0.05,Secondary,No,No
phn,1572,Journal of Nuclear Medicine,6.646,2005,USA,20.0,19.0,,,,,Other,NA,No,No,UPJO,No,0.033,Primary,No,No
phn,3402,J Urol,5.157,2014,Canada,27.0,8.0,,,,,RCT,Not Specified,Yes,Yes,UPJO,Yes,0.011,Primary,Yes,No
phn,736,J Urol,5.157,2012,USA,34.0,29.0,,,,,Other,NA,No,No,UPJO,No,0.001,Primary,No,No
phn,524,J Ped Urol,1.935,2013,India,11.0,9.0,,,,,Other,NA,No,No,PUV,No,0.005,Primary,No,No
phn,1973,J Urol,5.157,2003,India,14.0,13.0,,,,,RCT,NA,No,No,Stones,No,0.04,Secondary,No,No
phn,1461,J Urol,5.157,2006,USA,29.0,18.0,,,,,Other,NA,No,No,VUR,No,0.01,Primary,No,No
phn,4737,J Urol,5.157,2004,USA,29.0,12.0,,,,,RCT,Simple,No,Yes,VUR,Yes,0.009,Primary,No,No
phn,1432,European Urology,13.938,2006,England,27.0,25.0,,,,,Other,NA,No,No,UPJO,No,0.0072,Primary,No,No
phn,944,Urologia Internationalis,1.508,2011,Iran,7.0,9.0,,,,,RCT,NA,No,No,Stones,Yes,0.001,Primary,No,No
phn,449,J Urol,5.157,2014,Canada,4.0,7.0,,,,,RCT,Simple,No,No,VUR,Yes,0.05,Primary,No,No
phn,18,Urology,2.365,2016,Egypt,6.0,2.0,,,,,RCT,Blocked,Yes,No,UPJO,Yes,0.017,Secondary,No,No
phn,31,J Ped Urol,1.935,2017,Sweden,2.0,1.0,,,,,RCT,NA,No,No,VUR,No,0.05,Primary,No,Yes
phn,34,J Ped Urol,1.935,2017,Sweden,2.0,4.0,,,,,RCT,NA,No,No,VUR,No,0.039,Primary,No,No
phn,1201,Pediatric Nephrology,2.627,2008,Hungary,14.0,2.0,,,,,Other,NA,No,No,VUR,No,0.05,Secondary,No,No
phn,1775,Pediatric Nephrology,2.627,2004,Chile,7.0,94.0,,,,,Other,NA,No,No,UTI,No,0.0001,Primary,No,No
phn,252,Urology,2.365,2016,USA,8.0,2.0,,,,,Other,NA,No,No,VUR,No,0.01,Secondary,No,No
phn,967,J Urol,5.157,2011,USA,10.0,8.0,,,,,Other,NA,No,No,Ureterocele/duplex anomalies,No,0.05,Primary,No,No
phn,971,Pediatric Surgery International,1.476,2011,England,14.0,4.0,,,,,Other,NA,No,No,Ureterocele/duplex anomalies,No,0.04,Primary,No,No
phn,1286,International Urology Nephrology,1.692,2009,Turkey,12.0,6.0,,,,,Other,NA,No,No,VUR,No,0.05,Primary,No,No
phn,1328,J Urol,5.157,2007,USA,9.0,30.0,,,,,Other,NA,No,No,UPJO,No,0.05,Secondary,No,No
phn,1950,Pediatric Surgery International,1.476,2002,India,16.0,26.0,,,,,Other,NA,No,No,PUV,No,0.01,Primary,No,No
phn,3329,pediatric anesthesia,1.85,2015,USA,0.0,0.0,,,,,Other,NA,No,No,UPJO,No,0.01,Primary,No,No
phn,268,J Ped Urol,1.935,2016,Canada,24.0,8.0,,,,,Other,NA,No,No,UPJO,No,0.01,Primary,No,No
phn,17,Urology,2.365,2017,Canada,24.0,0.0,,,,,Other,NA,No,No,UPJO,No,0.01,Primary,No,No
phn,1398,J Urol,5.157,2008,France,9.0,224.0,,,,,RCT,Stratified,No,No,VUR,Yes,0.01,Primary,No,Yes
phn,565,Urology,2.365,2013,Egypt,13.0,8.0,,,,,Other,NA,No,No,PUV,No,0.0012,Primary,No,No
phn,2951,J Ped Urol,1.935,2017,USA,2.0,1.0,,,,,Other,NA,No,No,PHN,No,0.001,Primary,No,No
phn,259,J Ped Urol,1.935,2016,Turkey,14.0,19.0,,,,,Other,NA,No,No,UPJO,No,0.02,Secondary,No,No
phn,424,J Ped Urol,1.935,2014,Iran,10.0,6.0,,,,,Other,NA,No,No,UPJO,No,0.001,Secondary,No,No
phn,613,J Ped Urol,1.935,2013,Germany,15.0,14.0,,,,,Other,NA,No,No,VUR,No,0.001,Primary,No,No
phn,3124,J Ped Urol,1.935,2017,USA,23.0,4.0,,,,,Other,NA,No,No,UPJO,No,0.01,Primary,Yes,No
phn,541,Journal of endourology,2.038,2013,Norway,1.0,11.0,,,,,Other,NA,No,No,Stones,No,0.05,Secondary,No,No
phn,67,J Ped Urol,1.935,2017,USA,9.0,0.0,,,,,Other,NA,No,No,VUR,No,0.001,Primary,Yes,No
phn,410,Journal of endourology,2.038,2014,India,9.0,7.0,,,,,RCT,Not Specified,Yes,No,Stones,No,0.04,Secondary,No,No
phn,2240,ANZ J Surg,1.122,1998,Australia,6.0,14.0,,,,,Other,NA,No,No,UPJO,No,0.05,Primary,No,No
phn,618,J Ped Urol,1.935,2013,India,12.0,6.0,,,,,Other,NA,No,No,PUV,No,0.02,Primary,No,No
phn,968,J Urol,5.157,2011,USA,9.0,12.0,,,,,Other,NA,No,No,UPJO,No,0.04,Secondary,No,No
phn,3986,J Urol,5.157,2009,Israel,8.0,3.0,,,,,RCT,Not Specified,No,No,UPJO,No,0.02,Primary,No,No
phn,2546,J Urol,5.157,1993,USA,54.0,105.0,,,,,Other,NA,No,No,Ureterocele/duplex anomalies,No,0.01,Primary,No,No
phn,2405,Urology,2.365,1995,USA,83.0,221.0,,,,,Other,NA,No,No,UPJO,No,0.05,Primary,No,No
phn,1392,Surgical Endoscopy and Other Interventional Techniques,3.747,2008,England,12.0,48.0,,,,,Other,NA,No,No,UPJO,No,0.001,Secondary,No,No
phn,2130,J Urol,5.157,1999,Canada,27.0,66.0,,,,,Other,NA,No,No,UPJO,No,0.05,Secondary,No,No
phn,4011,Pediatric Surgery International,1.476,2010,Italy,19.0,5.0,,,,,Other,NA,No,No,UPJO,No,0.0001,Secondary,No,No
phn,1980,J Urol,5.157,2003,China,22.0,52.0,,,,,RCT,NA,No,No,Stones,No,0.01,Secondary,No,No
phn,708,Urological Research,2.038,2012,Egypt,3.0,20.0,,,,,RCT,Not Specified,Yes,Yes,Stones,No,0.0001,Primary,No,No
phn,2078,Urology,2.365,2001,USA,57.0,62.0,,,,,Other,NA,No,No,Stones,No,0.004,Primary,No,No
phn,1473,International journal of urology,1.941,2006,Egypt,5.0,13.0,,,,,RCT,NA,No,No,Stones,No,0.05,Secondary,No,No
phn,3983,JOURNAL OF LAPAROENDOSCOPIC & ADVANCED SURGICAL TECHNIQUES,1.257,2009,India,8.0,21.0,,,,,Other,NA,No,No,Stones,No,0.001,Primary,No,No
phn,2745,J Urol,5.157,1986,Kuwait,11.0,16.0,,,,,RCT,NA,No,No,Stones,No,0.01,Primary,No,No
phn,3397,Pediatric Surgery International,1.476,2014,Japan,16.0,2.0,,,,,Other,NA,No,No,UPJO,No,0.01,Primary,No,No
phn,369,Journal of endourology,2.038,2015,USA,5.0,11.0,,,,,Other,NA,No,No,Ureterocele/duplex anomalies,No,0.03,Primary,No,No
phn,20,Urology,2.365,2017,China,5.0,3.0,,,,,Other,NA,No,No,UPJO,No,0.01,Secondary,No,Yes
phn,929,J Urol,5.159,2011,USA,34.0,91.0,,,,,Other,NA,No,No,VUR,No,0.01,Secondary,No,No
phn,5604,Iran J Pediatr,0.902,2013,Iran,6.0,2.0,,,,,Other,NA,No,No,VUR,No,0.01,Primary,No,No
phn,720,Scandinavian Journal of Urology and Nephrology,1.684,2012,Sweden,25.0,3.0,,,,,RCT,NA,No,No,VUR,No,0.001,Primary,No,Yes
phn,473,Journal of the Society of Laparoendoscopic Surgeons,1.298,2014,India,11.0,2.0,,,,,RCT,NA,No,No,UPJO,No,0.02,Secondary,No,No
phn,432,Urology,2.365,2014,USA,29.0,10.0,,,,,Other,NA,No,No,UPJO,No,0.01,Secondary,No,No
phn,311,European Urology,13.938,2015,USA,18.0,47.0,,,,,RCT,Stratified,Yes,Yes,Stones,Yes,0.01,Primary,No,Yes
phn,1133,J Ped Urol,1.935,2009,France,22.0,36.0,,,,,Other,NA,No,No,UPJO,No,0.05,Secondary,No,No
phn,615,J Ped Urol,1.935,2013,Netherlands,4.0,15.0,,,,,Other,NA,No,No,UPJO,No,0.01,Secondary,No,No
phn,1340,Anesthesia and Analgesia,3.827,2007,USA,14.0,38.0,,,,,RCT,Not Specified,Yes,Not specified,VUR,Yes,0.02,Primary,No,No
phn,1037,Urology,2.365,2010,USA,11.0,18.0,,,,,Other,NA,No,No,UPJO,No,0.039,Primary,No,No
phn,2350,J Urol,5.159,1997,Taiwan,11.0,18.0,,,,,Other,NA,No,No,VUR,No,0.01,Primary,No,No
phn,1370,Urology,2.365,2007,USA,8.0,18.0,,,,,Other,NA,No,No,VUR,No,0.01,Primary,No,No
phn,943,world J Urol,2.981,2011,Turkey,4.0,19.0,,,,,RCT,NA,No,No,Stones,No,0.01,Secondary,No,No
phn,519,urolithiasis,2.038,2013,Italy,11.0,14.0,,,,,Other,NA,No,No,Stones,No,0.001,Secondary,No,No
phn,511,Urology,2.365,2013,Korea,10.0,12.0,,,,,Other,NA,No,No,VUR,No,0.023,Secondary,No,No
phn,5636,Prenatal Diagnosis,2.779,2018,Israel,6.0,0.0,,,,,Other,NA,No,No,PHN,No,0.014,Primary,No,No
neg,1027,Urology,2.365,2010,France,21.0,17.0,0.9,45.0,18.0,0.0,Other,NA,No,No,pyeloplasty,No,0.74,Primary,No,No
neg,2874,BMJ,27.604,1983,England,33.0,51.0,,16.0,5.0,0.0,Other,NA,No,No,VUR,No,1.0,Primary,No,No
neg,2762,BMJ,27.604,1987,England,33.0,230.0,,38.0,,0.0,Other,NA,No,No,VUR,No,0.36,Primary,No,No
neg,1914,Pediatric Surgery International,1.476,2002,Turkey,15.0,20.0,0.42,7.0,10.0,0.0,Other,NA,No,No,pyeloplasty,No,1.0,Primary,No,No
neg,402,J ped urol,1.736,2013,USA,16.0,19.0,2.06,18.0,49.0,2.0,Other,NA,No,No,pyeloplasty,No,1.0,Primary,No,No
neg,999,Urology,2.365,2014,USA,16.0,11.0,1.1,42.0,15.0,0.0,Other,NA,No,No,robotics,No,1.0,Secondary,No,No
neg,998,J Urol,5.157,1999,Canada,29.0,52.0,0.96,48.0,14.0,0.0,Other,NA,No,No,VUR,No,0.152,Primary,No,No
neg,902,J ped urol,1.736,2011,Italy,8.0,2.0,,15.0,28.0,0.0,Other,NA,No,No,VUR,No,0.34,Primary,No,No
neg,2495,J Urol,5.157,1996,USA,36.0,23.0,1.16,2.0,,0.0,Other,NA,No,No,pyeloplasty,No,1.0,Primary,Yes,No
neg,997,J Urol,5.157,2005,France,28.0,110.0,5.13,8.0,19.0,0.0,Other,NA,No,No,pyeloplasty,No,1.0,Primary,No,No
neg,996,BJUI,4.524,2001,Australia,16.0,77.0,1.73,32.0,13.0,0.0,Other,NA,No,No,nephrectomy,No,0.156,Secondary,No,No
neg,2674,J Urol,5.157,1991,USA,16.0,36.0,,0.0,1.0,0.0,Other,NA,No,No,VUR,No,0.67,Secondary,No,No
neg,1788,J Urol,5.157,2004,USA,20.0,32.0,0.88,10.0,15.0,0.0,Other,NA,No,No,Megaureter,No,0.35,Primary,No,No
neg,2373,J Urol,5.157,1997,Switzerland,26.0,31.0,4.16,1.0,2.0,0.0,Other,NA,No,No,VUR,No,0.35,Primary,No,No
neg,925,J Urol,5.157,2011,Japan,24.0,11.0,0.12,62.0,18.0,0.0,Other,NA,No,No,pyeloplasty,No,0.06,Primary,No,No
neg,234,Investigative and clinical urology,1.638,2016,Korea,10.0,2.0,0.28,5.0,2.0,0.0,Other,NA,No,No,VUR,No,1.0,Primary,No,No
neg,324,Annals of the Royal College of Surgeons of England,1.268,2015,USA,21.0,9.0,1.31,7.0,25.0,0.0,Other,NA,No,No,pyeloplasty,No,0.09,Primary,No,No
neg,4326,J Urol,5.157,2008,USA,6.0,8.0,0.68,41.0,13.0,0.0,Other,NA,No,No,pyeloplasty,No,0.06,Primary,No,No
neg,1261,J ped urol,1.736,2008,USA,39.0,17.0,0.93,18.0,5.0,0.0,Other,NA,No,No,pyeloplasty,No,0.06,Primary,No,No
neg,1954,Urology,2.365,2002,Austria,34.0,77.0,2.43,25.0,10.0,0.0,Other,Not Specified,No,No,VUR,No,0.0536,Primary,Yes,No
neg,1452,J Urol,5.157,2006,Canada,9.0,71.0,3.53,10.0,23.0,0.0,Other,NA,No,No,nephrectomy,No,1.0,Primary,No,No
neg,434,J ped urol,1.736,2014,USA,20.0,30.0,2.38,30.0,22.0,0.0,Other,NA,No,No,VUR,No,0.083,Primary,No,No
neg,110,Plos,2.776,2017,Korea,12.0,10.0,1.89,4382.0,60.0,0.0,Other,NA,No,No,pyeloplasty,No,0.06,Primary,No,No
neg,1156,Urology,2.365,2009,China,26.0,18.0,0.83,164.0,12.0,0.0,Other,NA,No,No,pyeloplasty,No,0.4,Primary,No,Yes
neg,2213,J Urol,5.157,1998,USA,24.0,18.0,0.95,9.0,0.0,0.0,Other,NA,No,No,pyeloplasty,No,1.0,Secondary,No,No
neg,1433,Urology,2.365,2006,USA,21.0,120.0,4.23,37.0,29.0,0.0,Other,NA,No,No,pyeloplasty,No,1.0,Primary,No,No
neg,354,J ped urol,1.736,2015,Egypt,6.0,11.0,1.1,8.0,24.0,0.0,RCT,Not Specified,Yes,No,pyeloplasty,Yes,1.0,Primary,No,No
neg,102,Jama peds,12.004,2017,USA,12.0,15.0,4.65,127.0,51.0,1.0,Other,NA,No,No,VUR,No,0.92,Primary,Yes,No
neg,2699,Urology,2.365,1992,USA,29.0,7.0,,1.0,0.0,0.0,Other,NA,No,No,VUR,No,0.06,Primary,No,No
neg,4702,Journal of Antimicrobial Chemotherapy,5.217,1982,Sweden,4.0,4.0,,3.0,0.0,0.0,RCT,Not Specified,Yes,Yes,BBD,No,1.0,Primary,No,No
neg,31766,BJUI,4.524,2008,Germany,10.0,7.0,0.14,913.0,29.0,0.0,Other,NA,No,No,BBD,No,0.06,Primary,No,No
neg,21067,Behaviour Research and Therapy,4.134,1982,Australia,4.0,21.0,,130.0,31.0,0.0,Other,NA,No,No,BBD,No,0.06,Primary,No,No
neg,35728,J ped urol,1.736,2011,England,21.0,15.0,1.2,198.0,62.0,0.0,RCT,Not Specified,Yes,Yes,BBD,Yes,0.06,Primary,No,Yes
neg,35053,J ped urol,1.736,2014,Italy,22.0,24.0,2.38,45.0,28.0,0.0,RCT,Not Specified,Yes,Yes,BBD,No,0.89,Primary,No,No
neg,35708,J Urol,5.157,2010,USA,8.0,0.0,,673.0,30.0,0.0,Other,NA,No,No,BBD,No,0.061,Primary,No,No
neg,31032,J Urol,5.157,2006,Netherlands,19.0,40.0,0.99,33.0,51.0,0.0,RCT,Stated,Yes,Yes,BBD,No,0.06,Primary,No,No
neg,35826,J ped urol,1.736,2012,Netherlands,2.0,16.0,0.48,52.0,43.0,0.0,RCT,Stated,Yes,Yes,BBD,Yes,1.0,Primary,Yes,Yes
neg,30393,Urology,2.365,2005,Japan,28.0,16.0,0.29,42.0,2.0,0.0,Other,NA,No,No,BBD,No,0.082,Primary,No,No
neg,486,j ped surg,1.733,2018,Turkey,5.0,2.0,1.26,19.0,24.0,0.0,RCT,Not Specified,Yes,Yes,BBD,No,0.407,Primary,No,No
neg,34249,European Urology,17.581,2001,Austria,34.0,53.0,2.25,36.0,31.0,1.0,RCT,Not Specified,Yes,Yes,BBD,No,0.06,Primary,No,No
neg,27845,Int Urol Nephrol,1.596,2015,Turkey,9.0,4.0,0.23,0.0,15.0,0.0,Other,NA,No,No,BBD,No,1.0,Primary,No,No
neg,60645,Iranian Journal of Child Neurology,0.029,2010,Iran,3.0,0.0,,0.0,0.0,0.0,RCT,Stated,Yes,Yes,BBD,No,0.08,Primary,No,No
neg,342,J Urol,5.157,2018,Japan,25.0,2.0,0.96,36.0,8.0,1.0,Other,NA,No,No,BBD,No,1.0,Primary,No,No
neg,842,J ped urol,1.736,2016,Brazil,17.0,1.0,0.17,34.0,61.0,0.0,Other,NA,No,No,BBD,No,0.88,Primary,No,No
neg,34449,The Journal of international medical research,1.351,2003,Turkey,,15.0,0.08,36.0,22.0,0.0,RCT,Not Specified,Yes,Yes,BBD,No,1.0,Secondary,No,No
